state,"Hospital Beds per 10,000 Population","ICU Beds per 10,000 Population","Critical Care Nurses and CRNAs per 10,000 Adults",Share of Private Sector Enrollees in Enrolled in Self-Insured Plans,American Indian/Alaska Native,positive%,dead%,recoveryRate,positiveIncrease%
AK,22.6,1.8,2.54,0.566,0.151,2.358655305333319,0.011698114038941729,98.9313422295869,0.00021135073214102753
AL,31.6,3.8999999999999995,5.07,0.549,0.004,3.3749956306429536,0.05772328270284593,97.97348929776773,0.00027180530441484426
AR,28.6,2.9,3.19,0.629,0.006,3.4040479860311486,0.05690969100193134,98.42674923718695,0.0002938919531438991
AZ,18.4,2.5,1.46,0.631,0.039,3.6175761751912425,0.07451558194814646,97.52909485958058,0.00031317998891326195
CA,19.2,2.1,0.89,0.43399999999999994,0.004,2.598428658807393,0.040166531925293965,97.8380653210601,0.00023998875713989403
CO,17.5,3.1999999999999997,1.77,0.612,0.005,2.319346828999943,0.04370679870107102,96.98111714115967,0.00020492837573498094
CT,23.4,2.1,2.66,0.599,0.002,2.5472831476344786,0.1241410744903039,93.7168915518921,0.0002121385649701682
DE,20.4,2.7,4.99,0.659,0.003,2.8129179581270822,0.06320381792850224,96.99819083597546,0.00024319115145992476
GA,23.2,2.6,2.45,0.652,0.002,3.1244288420833235,0.060918756127396834,97.46509437438074,0.00025893352395491703
HI,20.9,1.5999999999999999,1.09,0.314,0.001,0.7253875870031651,0.010574967009752318,98.45097368142066,5.344370069263904e-05
IA,27.7,2.0,2.45,0.659,0.003,3.236208197328529,0.05730682315413235,98.11842829994026,0.00023518612578557282
ID,19.0,1.9,3.5400000000000005,0.622,0.009,3.126484613731812,0.03403626343250269,98.58772863046323,0.0002569123645065871
IL,24.099999999999998,2.8000000000000003,2.12,0.587,0.001,3.2922494036205237,0.07901728167291167,96.92865555360424,0.0002536722602319726
IN,25.0,3.6,1.29,0.622,0.002,3.062446361040018,0.06689236268717777,96.52065309806245,0.0002622294585378372
KS,29.0,3.1,4.85,0.605,0.006,3.1179308002741895,0.04237920334648679,98.19472382776067,0.0002744022093968369
KY,32.1,3.3,4.23,0.69,0.001,2.5378326609462873,0.03210525256256893,97.5667593274021,0.00024836636145724166
LA,31.6,3.3999999999999995,4.53,0.526,0.005,3.5816106031129356,0.10589621288007134,96.1892870686701,0.00025445829785297665
MA,21.800000000000004,2.3,2.15,0.524,0.002,2.748984180511126,0.1280505972435429,94.54047964654869,0.00020467131893992828
MD,18.1,2.1,2.01,0.603,0.002,2.2890169843563895,0.0628584549147839,96.65766705086149,0.00017038353839988573
ME,25.699999999999996,2.2,3.7099999999999995,0.531,0.006999999999999999,0.8151729439313069,0.01563103903244469,97.38465353790936,9.184085735054782e-05
MI,24.5,2.8,3.9899999999999998,0.599,0.005,2.2095870744526147,0.07905975250449154,94.8105090641955,0.00017500633592302845
MN,24.9,2.3,5.53,0.664,0.009,2.883489834334724,0.04637539425975197,97.58428200645125,0.00023397503120420722
MO,29.300000000000004,3.5,3.73,0.618,0.004,2.6673901599559082,0.04373171521790215,97.50335514808293,0.00021336324988463013
MS,36.8,3.2,3.52,0.622,0.004,3.533577004074652,0.09264104373046596,96.99485056819057,0.0002745647544625328
MT,35.7,2.4,1.4200000000000002,0.581,0.061,2.8142077762729216,0.03722822118650836,98.25429948705006,0.00025430266916498864
NC,23.099999999999998,3.1999999999999997,4.22,0.727,0.011000000000000001,2.482996742305579,0.0361468220436018,98.23353572456405,0.00022641345318124604
ND,41.0,3.8,6.36,0.668,0.052,4.646712939387157,0.0646152953159553,98.42421723402632,0.00035206579658780064
NE,30.1,2.9,4.03,0.685,0.008,3.525373924472153,0.03681367434964467,98.83693323520694,0.0002674554765527388
NH,20.2,1.9000000000000001,3.15,0.615,,1.373023883201129,0.035482582010459104,96.06469655345646,0.00015120550848637598
NJ,21.5,2.2,1.33,0.591,0.001,3.0741331166848593,0.14698511782341775,94.05948584529828,0.00022316540874686136
NM,17.7,2.2,2.21,0.575,0.087,2.6857719778118008,0.05845509170313685,97.2356218248957,0.00023987482415356457
NV,20.4,3.7,0.9,0.527,0.009,3.178777951980084,0.05268053206978528,97.51463692491214,0.0002592468542123041
NY,28.5,2.3,1.34,0.525,0.002,2.893840964328119,0.122433756668673,95.30098505246413,0.00022431547822556315
OH,24.3,3.2,3.59,0.72,0.001,2.375142128056219,0.045846625411735065,96.79787117129108,0.0002253400826001794
OK,28.5,3.1000000000000005,2.44,0.626,0.077,3.1573221699263696,0.03352499464826531,97.78561331563044,0.000296038322064043
OR,16.4,2.0,1.52,0.495,0.009,1.1243481835783633,0.016944861843165553,97.91768767278784,0.00010046321177749677
PA,27.3,2.9,4.4,0.573,0.001,2.1180334815810316,0.07331389569468616,95.46652798292918,0.00019718212371276736
RI,23.9,2.8,2.26,0.526,0.002,3.6622353945662924,0.1081135776859607,96.4246840243029,0.00031546084582161836
SC,23.5,3.0,3.78,0.675,0.003,3.087536680179806,0.05977520466955837,97.67888079667694,0.0002784271335584698
SD,46.7,1.8000000000000003,6.62,0.587,0.084,4.420445151934215,0.06419387611053053,98.64124585633178,0.00035002143873223365
TN,27.1,3.5,5.29,0.619,0.003,3.6235651244056912,0.049029475019369155,98.67409064648912,0.00030756855392649683
TX,20.0,2.6,2.64,0.625,0.003,2.8940156627061246,0.05065643238539824,98.1069184843671,0.0002491523228117087
UT,15.400000000000002,2.2,1.37,0.661,0.01,3.625700304300575,0.019265892584400843,99.33392759765509,0.0003194607027379695
VA,21.199999999999996,2.5,2.7700000000000005,0.586,0.002,2.064809413931115,0.035983950691589627,97.80538475333647,0.0001671353439054882
VT,17.4,1.6,0.9799999999999999,0.633,0.006999999999999999,0.5798900794193226,0.012430498533429802,96.63341897246966,6.759309937622955e-05
WA,15.1,2.0,1.81,0.587,0.011000000000000001,1.3059396511180996,0.026584868608779278,96.46930827352281,0.00010646130695483859
WI,22.2,2.7,2.27,0.629,0.006999999999999999,3.5320297413063586,0.039880509369582984,98.2960114791698,0.0002850740306790969
WV,36.4,3.7,4.87,0.658,0.002,1.8945743572977325,0.03347238031777506,97.85196420396629,0.00020271344751534426
